row,Track,Category,Level,Album,id,Anger,Fear,Happy,Sad,Tender,Gender,Age,Musicianship,Emotion,Tension,Energy,Valence
1457,7,Anger,High,Batman Returns,30,6,3,6,4,1,Male,21,1,Discrete,NA,NA,NA
1458,8,Anger,High,Man of Galilee CD1,30,1,6,6,6,2,Male,21,1,Discrete,NA,NA,NA
1459,9,Anger,High,The Untouchables,30,6,2,2,4,1,Male,21,1,Discrete,NA,NA,NA
1460,10,Anger,High,Oliver Twist,30,3,2,3,7,2,Male,21,1,Discrete,NA,NA,NA
1461,11,Fear,Moderate,Batman Returns,30,3,7,2,4,2,Male,21,1,Discrete,NA,NA,NA
1462,12,Fear,Moderate,JFK,30,4,7,3,4,2,Male,21,1,Discrete,NA,NA,NA
1463,13,Fear,Moderate,JFK,30,3,6,2,1,3,Male,21,1,Discrete,NA,NA,NA
1464,14,Fear,Moderate,The Alien Trilogy,30,1,6,2,3,2,Male,21,1,Discrete,NA,NA,NA
1465,15,Fear,Moderate,Hannibal,30,3,6,3,4,2,Male,21,1,Discrete,NA,NA,NA
1466,16,Fear,High,Running Scared,30,2,6,4,2,4,Male,21,1,Discrete,NA,NA,NA
1467,17,Fear,High,The Untouchables,30,3,7,2,2,3,Male,21,1,Discrete,NA,NA,NA
1468,18,Fear,High,The Fifth Element,30,4,3,3,6,3,Male,21,1,Discrete,NA,NA,NA
1469,19,Fear,High,Lethal weapon 3,30,1,6,4,6,3,Male,21,1,Discrete,NA,NA,NA
1470,20,Fear,High,Man of Galilee CD1,30,2,6,6,5,2,Male,21,1,Discrete,NA,NA,NA
1471,21,Happy,Moderate,The Rainmaker,30,1,1,7,4,2,Male,21,1,Discrete,NA,NA,NA
1472,22,Happy,Moderate,Batman,30,1,1,7,3,5,Male,21,1,Discrete,NA,NA,NA
1473,23,Happy,Moderate,Shallow Grave,30,1,1,8,2,4,Male,21,1,Discrete,NA,NA,NA
1474,24,Happy,Moderate,Man of Galilee CD1,30,1,3,7,1,3,Male,21,1,Discrete,NA,NA,NA
1475,25,Happy,Moderate,Oliver Twist,30,1,1,7,4,4,Male,21,1,Discrete,NA,NA,NA
1476,26,Happy,High,The Omen,30,1,4,3,5,6,Male,21,1,Discrete,NA,NA,NA
1477,27,Happy,High,Oliver Twist,30,1,2,7,4,4,Male,21,1,Discrete,NA,NA,NA
1478,28,Happy,High,Grizzly Man,30,1,2,6,5,3,Male,21,1,Discrete,NA,NA,NA
1479,29,Happy,High,The Portait of a Lady,30,1,4,3,7,4,Male,21,1,Discrete,NA,NA,NA
1480,30,Happy,High,Nostradamus,30,3,5,4,5,2,Male,21,1,Discrete,NA,NA,NA
1481,31,Sad,Moderate,The English Patient,30,1,4,2,7,3,Male,21,1,Discrete,NA,NA,NA
1482,32,Sad,Moderate,Running Scared,30,2,6,3,6,3,Male,21,1,Discrete,NA,NA,NA
1483,33,Sad,Moderate,The Portait of a Lady,30,1,3,2,8,2,Male,21,1,Discrete,NA,NA,NA
1484,34,Sad,Moderate,Big Fish,30,1,2,5,5,2,Male,21,1,Discrete,NA,NA,NA
1485,35,Sad,Moderate,Man of Galilee CD1,30,1,4,5,5,3,Male,21,1,Discrete,NA,NA,NA
1486,36,Sad,High,Angel Heart,30,2,6,2,7,3,Male,21,1,Discrete,NA,NA,NA
1487,37,Sad,High,Batman,30,1,5,6,1,4,Male,21,1,Discrete,NA,NA,NA
1488,38,Sad,High,Dracula,30,2,3,3,6,2,Male,21,1,Discrete,NA,NA,NA
1489,39,Sad,High,Shakespeare In Love,30,1,1,3,6,3,Male,21,1,Discrete,NA,NA,NA
1490,40,Sad,High,The English Patient,30,1,3,3,4,5,Male,21,1,Discrete,NA,NA,NA
1491,41,Tender,Moderate,Shine,30,2,3,3,6,6,Male,21,1,Discrete,NA,NA,NA
1492,42,Tender,Moderate,Pride & Prejudice,30,1,3,4,5,6,Male,21,1,Discrete,NA,NA,NA
1493,43,Tender,Moderate,Dances with Wolves,30,2,3,3,6,3,Male,21,1,Discrete,NA,NA,NA
1494,44,Tender,Moderate,Pride & Prejudice,30,1,2,2,5,5,Male,21,1,Discrete,NA,NA,NA
1495,45,Tender,Moderate,Oliver Twist,30,1,1,3,7,3,Male,21,1,Discrete,NA,NA,NA
1496,46,Tender,High,Batman,30,1,5,2,5,2,Male,21,1,Discrete,NA,NA,NA
1497,47,Tender,High,Oliver Twist,30,1,1,6,5,5,Male,21,1,Discrete,NA,NA,NA
1498,48,Tender,High,Dracula,30,2,5,3,4,4,Male,21,1,Discrete,NA,NA,NA
1499,49,Tender,High,Juha,30,1,1,6,4,5,Male,21,1,Discrete,NA,NA,NA
1500,50,Tender,High,Oliver Twist,30,2,6,2,4,4,Male,21,1,Discrete,NA,NA,NA
1501,1,Anger,Moderate,Lethal weapon 3,31,9,6,1,1,1,Female,24,1,Discrete,NA,NA,NA
1502,2,Anger,Moderate,The Rainmaker,31,4,4,1,3,1,Female,24,1,Discrete,NA,NA,NA
1503,3,Anger,Moderate,The Alien Trilogy,31,5,1,1,5,1,Female,24,1,Discrete,NA,NA,NA
1504,4,Anger,Moderate,Cape Fear,31,6,5,1,1,1,Female,24,1,Discrete,NA,NA,NA
1505,5,Anger,Moderate,The Fifth Element,31,9,8,1,1,1,Female,24,1,Discrete,NA,NA,NA
1506,6,Anger,High,Crouching Tiger ,31,3,1,7,1,1,Female,24,1,Discrete,NA,NA,NA
1507,7,Anger,High,Batman Returns,31,1,4,2,3,1,Female,24,1,Discrete,NA,NA,NA
1508,8,Anger,High,Man of Galilee CD1,31,7,8,1,1,3,Female,24,1,Discrete,NA,NA,NA
1509,9,Anger,High,The Untouchables,31,7,1,6,1,1,Female,24,1,Discrete,NA,NA,NA
1510,10,Anger,High,Oliver Twist,31,8,5,1,1,1,Female,24,1,Discrete,NA,NA,NA
1511,11,Fear,Moderate,Batman Returns,31,1,9,1,1,1,Female,24,1,Discrete,NA,NA,NA
1512,12,Fear,Moderate,JFK,31,1,9,1,1,1,Female,24,1,Discrete,NA,NA,NA
1513,13,Fear,Moderate,JFK,31,3,7,1,1,1,Female,24,1,Discrete,NA,NA,NA
1514,14,Fear,Moderate,The Alien Trilogy,31,2,4,1,1,1,Female,24,1,Discrete,NA,NA,NA
1515,15,Fear,Moderate,Hannibal,31,1,4,1,2,1,Female,24,1,Discrete,NA,NA,NA
1516,16,Fear,High,Running Scared,31,6,7,1,2,1,Female,24,1,Discrete,NA,NA,NA
1517,17,Fear,High,The Untouchables,31,1,8,1,1,1,Female,24,1,Discrete,NA,NA,NA
1518,18,Fear,High,The Fifth Element,31,4,1,1,1,1,Female,24,1,Discrete,NA,NA,NA
1519,19,Fear,High,Lethal weapon 3,31,1,1,1,3,2,Female,24,1,Discrete,NA,NA,NA
1520,20,Fear,High,Man of Galilee CD1,31,8,3,1,1,1,Female,24,1,Discrete,NA,NA,NA
1521,21,Happy,Moderate,The Rainmaker,31,1,1,8,1,3,Female,24,1,Discrete,NA,NA,NA
1522,22,Happy,Moderate,Batman,31,2,1,9,1,1,Female,24,1,Discrete,NA,NA,NA
1523,23,Happy,Moderate,Shallow Grave,31,1,1,9,1,1,Female,24,1,Discrete,NA,NA,NA
1524,24,Happy,Moderate,Man of Galilee CD1,31,3,1,6,1,1,Female,24,1,Discrete,NA,NA,NA
1525,25,Happy,Moderate,Oliver Twist,31,1,2,9,1,1,Female,24,1,Discrete,NA,NA,NA
1526,26,Happy,High,The Omen,31,1,1,9,3,2,Female,24,1,Discrete,NA,NA,NA
1527,27,Happy,High,Oliver Twist,31,3,1,9,1,1,Female,24,1,Discrete,NA,NA,NA
1528,28,Happy,High,Grizzly Man,31,1,1,1,6,2,Female,24,1,Discrete,NA,NA,NA
1529,29,Happy,High,The Portait of a Lady,31,1,1,6,4,3,Female,24,1,Discrete,NA,NA,NA
1530,30,Happy,High,Nostradamus,31,1,1,7,3,1,Female,24,1,Discrete,NA,NA,NA
1531,31,Sad,Moderate,The English Patient,31,1,1,1,8,1,Female,24,1,Discrete,NA,NA,NA
1532,32,Sad,Moderate,Running Scared,31,6,1,1,4,1,Female,24,1,Discrete,NA,NA,NA
1533,33,Sad,Moderate,The Portait of a Lady,31,1,1,1,6,1,Female,24,1,Discrete,NA,NA,NA
1534,34,Sad,Moderate,Big Fish,31,1,1,1,7,1,Female,24,1,Discrete,NA,NA,NA
1535,35,Sad,Moderate,Man of Galilee CD1,31,6,1,1,7,1,Female,24,1,Discrete,NA,NA,NA
1536,36,Sad,High,Angel Heart,31,1,1,1,7,3,Female,24,1,Discrete,NA,NA,NA
1537,37,Sad,High,Batman,31,1,1,7,4,1,Female,24,1,Discrete,NA,NA,NA
1538,38,Sad,High,Dracula,31,1,1,1,1,5,Female,24,1,Discrete,NA,NA,NA
1539,39,Sad,High,Shakespeare In Love,31,1,1,1,3,5,Female,24,1,Discrete,NA,NA,NA
1540,40,Sad,High,The English Patient,31,1,1,1,1,6,Female,24,1,Discrete,NA,NA,NA
1541,41,Tender,Moderate,Shine,31,1,1,1,7,5,Female,24,1,Discrete,NA,NA,NA
1542,42,Tender,Moderate,Pride & Prejudice,31,1,1,9,1,4,Female,24,1,Discrete,NA,NA,NA
1543,43,Tender,Moderate,Dances with Wolves,31,1,1,3,1,8,Female,24,1,Discrete,NA,NA,NA
1544,44,Tender,Moderate,Pride & Prejudice,31,1,1,8,1,8,Female,24,1,Discrete,NA,NA,NA
