Labels,TargetEmo,ComparisonEmo,TrialNum,Track110
Tender-Fearful,5,2,158,47
Tender-Sad,5,4,159,47
Tender-Angry,5,1,160,48
Tender-Fearful,5,2,161,48
Tender-Happy,5,3,162,48
Tender-Sad,5,4,163,48
Tender-Angry,5,1,164,49
Tender-Fearful,5,2,165,49
Tender-Sad,5,4,166,49
Sad-Angry,4,1,167,50
Sad-Fearful,4,2,168,50
Sad-Happy,4,3,169,50
Tender-Angry,5,1,170,51
Tender-Fearful,5,2,171,51
Tender-Sad,5,4,172,51
Tender-Angry,5,1,173,52
Tender-Fearful,5,2,174,52
Tender-Happy,5,3,175,52
Tender-Sad,5,4,176,52
Happy-Angry,3,1,177,53
Happy-Fearful,3,2,178,53
Happy-Sad,3,4,179,53
Happy-Tender,3,5,180,53
Tender-Angry,5,1,181,54
Tender-Fearful,5,2,182,54
Tender-Happy,5,3,183,54
Happy-Angry,3,1,184,55
Happy-Fearful,3,2,185,55
Happy-Sad,3,4,186,55
Happy-Tender,3,5,187,55
Happy-Angry,3,1,188,56
Happy-Fearful,3,2,189,56
Happy-Sad,3,4,190,56
Happy-Tender,3,5,191,56
Happy-Angry,3,1,192,57
Happy-Fearful,3,2,193,57
Happy-Sad,3,4,194,57
Happy-Tender,3,5,195,57
Sad-Angry,4,1,196,58
Sad-Fearful,4,2,197,58
Sad-Happy,4,3,198,58
Sad-Tender,4,5,199,58
Happy-Angry,3,1,200,59
Happy-Fearful,3,2,201,59
Happy-Sad,3,4,202,59
Happy-Tender,3,5,203,59
Happy-Angry,3,1,204,60
Happy-Fearful,3,2,205,60
Happy-Sad,3,4,206,60
Happy-Angry,3,1,207,61
Happy-Fearful,3,2,208,61
Happy-Sad,3,4,209,61
Happy-Tender,3,5,210,61
Fearful-Angry,2,1,211,62
Fearful-Happy,2,3,212,62
Fearful-Sad,2,4,213,62
Fearful-Tender,2,5,214,62
Fearful-Angry,2,1,215,63
Fearful-Happy,2,3,216,63
Fearful-Sad,2,4,217,63
Fearful-Tender,2,5,218,63
Fearful-Angry,2,1,219,64
Fearful-Happy,2,3,220,64
Fearful-Sad,2,4,221,64
Fearful-Tender,2,5,222,64
Fearful-Angry,2,1,223,65
Fearful-Happy,2,3,224,65
Fearful-Sad,2,4,225,65
Fearful-Tender,2,5,226,65
Fearful-Angry,2,1,227,66
Fearful-Happy,2,3,228,66
Fearful-Sad,2,4,229,66
Fearful-Tender,2,5,230,66
Fearful-Angry,2,1,231,68
Fearful-Sad,2,4,232,68
Fearful-Tender,2,5,233,68
Angry-Happy,1,3,234,69
Angry-Sad,1,4,235,69
Angry-Tender,1,5,236,69
Fearful-Angry,2,1,237,70
Fearful-Happy,2,3,238,70
Fearful-Sad,2,4,239,70
Happy-Tender,3,5,240,71
Happy-Angry,3,1,241,73
Happy-Fearful,3,2,242,73
Happy-Sad,3,4,243,73
Happy-Tender,3,5,244,73
Happy-Angry,3,1,245,74
Happy-Fearful,3,2,246,74
Happy-Sad,3,4,247,74
Happy-Tender,3,5,248,74
Happy-Angry,3,1,249,76
Happy-Fearful,3,2,250,76
Happy-Sad,3,4,251,76
Happy-Angry,3,1,252,77
Happy-Fearful,3,2,253,77
Happy-Sad,3,4,254,77
Happy-Tender,3,5,255,77
Sad-Angry,4,1,256,78
Sad-Fearful,4,2,257,78
Sad-Happy,4,3,258,78
Sad-Tender,4,5,259,78
Happy-Angry,3,1,260,79
Happy-Fearful,3,2,261,79
Happy-Sad,3,4,262,79
Happy-Tender,3,5,263,79
Happy-Angry,3,1,264,80
Happy-Fearful,3,2,265,80
Happy-Sad,3,4,266,80
Happy-Tender,3,5,267,80
Sad-Angry,4,1,268,81
Sad-Fearful,4,2,269,81
Sad-Happy,4,3,270,81
Sad-Tender,4,5,271,81
Tender-Angry,5,1,272,83
Tender-Fearful,5,2,273,83
Tender-Happy,5,3,274,83
Tender-Sad,5,4,275,83
Sad-Angry,4,1,276,84
Sad-Fearful,4,2,277,84
Sad-Happy,4,3,278,84
Sad-Tender,4,5,279,84
Fearful-Angry,2,1,280,85
Fearful-Happy,2,3,281,85
Fearful-Tender,2,5,282,85
Sad-Angry,4,1,283,87
Sad-Fearful,4,2,284,87
Sad-Happy,4,3,285,87
Sad-Tender,4,5,286,87
Sad-Angry,4,1,287,88
Sad-Fearful,4,2,288,88
Sad-Happy,4,3,289,88
Sad-Tender,4,5,290,88
Sad-Angry,4,1,291,89
Sad-Fearful,4,2,292,89
Sad-Happy,4,3,293,89
Sad-Tender,4,5,294,89
Sad-Angry,4,1,295,90
Sad-Fearful,4,2,296,90
Sad-Happy,4,3,297,90
Sad-Tender,4,5,298,90
Fearful-Angry,2,1,299,91
Fearful-Happy,2,3,300,91
Fearful-Sad,2,4,301,91
Fearful-Tender,2,5,302,91
Angry-Fearful,1,2,303,92
Angry-Sad,1,4,304,92
Fearful-Happy,2,3,305,93
Fearful-Sad,2,4,306,93
Fearful-Tender,2,5,307,93
Fearful-Angry,2,1,308,94
Fearful-Happy,2,3,309,94
Fearful-Sad,2,4,310,94
Fearful-Tender,2,5,311,94
Sad-Angry,4,1,312,96
Sad-Happy,4,3,313,96
Sad-Tender,4,5,314,96
Fearful-Angry,2,1,315,97
Fearful-Happy,2,3,316,97
Fearful-Sad,2,4,317,97
Fearful-Tender,2,5,318,97
Sad-Angry,4,1,319,98
Sad-Fearful,4,2,320,98
Sad-Happy,4,3,321,98
Sad-Tender,4,5,322,98
Sad-Angry,4,1,323,99
Sad-Fearful,4,2,324,99
Sad-Happy,4,3,325,99
Sad-Tender,4,5,326,99
Fearful-Angry,2,1,327,100
Fearful-Happy,2,3,328,100
Fearful-Sad,2,4,329,100
Fearful-Tender,2,5,330,100
Sad-Angry,4,1,331,102
Sad-Fearful,4,2,332,102
Sad-Happy,4,3,333,102
Sad-Angry,4,1,334,103
Sad-Fearful,4,2,335,103
Sad-Happy,4,3,336,103
Sad-Angry,4,1,337,104
Sad-Fearful,4,2,338,104
Sad-Happy,4,3,339,104
